overview,tags1,tags2,tags3,tags4
"Süpersonik hızlarda koşabilen mavi bir kirpi olan Sonic'in maceralarını konu alan bu seride, dostları Knuckles ve Tails ile birlikte, daha önce karşılaştıkları hiçbir şeye benzemeyen gizemli ve güçlü bir düşman olan Shadow'a karşı mücadele ediyor. Shadow, sahip olduğu benzersiz yeteneklerle Sonic ve arkadaşlarını zorluyor. Bu tehlikeli düşmanı durdurmak ve gezegeni korumak için Sonic ve ekibi, beklenmedik ittifaklar kurmak zorunda kalıyor",Aksiyon,Bilim-Kurgu,,
"Kuzey Kutbu'nun Güvenlik Şefi (Dwayne Johnson), Noel'i kurtarmak için dünyanın en kötü şöhretli ödül avcısıyla (Chris Evans) dünyayı dolaşacakları aksiyon dolu bir görevde bir araya gelmek zorunda kalır",Aksiyon,,,
"Venom: Son Dans (2024), Eddie Brock ve Venom’un hikâyesinin son bölümünü işleyen bir bilim kurgu, aksiyon ve macera filmidir. Bu filmde, Eddie ve simbiyotu Venom, artık bir arada yaşamaya alışmışlardır. Ancak, kendilerini hem dünyalarından hem de başka düşmanlardan kaçmak zorunda kalan birer kaçak olarak bulurlar. Bu durum, Eddie ve Venom’un hayatta kalmak için güçlü bir ortaklık kurmasını gerektirir",Aksiyon,Gerilim,,
"Gladyatör Maximus Decimus Meridius’un ölümünden 15 yıl sonrasıdır. Kana susamış kalabalıklar yarı deli ikiz imparatorları zalimliğin yeni zirvelerine iterken Kolezyum’daki savaşlar çok daha ölümcül ve görkemli hâle gelmiştir. Roma İmparatorluğu sınırlarını genişleterek, yoluna çıkan her kültürü yağmalayarak ve hayatta kalanları ringde yaşamları için savaşmaya zorlayarak yeryüzündeki yürüyüşünü sürdürmektedir",Aksiyon,,,
"Ejderha Savaşçı Po, eşsiz cesareti ve dövüş sanatlarındaki yetenekleriyle kötü adamları alt ettiği üç maceradan sonra yeniden maceraya atılır; Huzur Vadisi'nin ruhani lideri olması için görevlendirilir. Bu da birkaç sorunu ortaya çıkarır. Birincisi, Po'nun ruhani liderlik hakkında bildikleri taş devri diyeti hakkında bildikleri kadardır ve ikincisi ise bu yeni ulu pozisyonunu üstlenmeden önce hızla yeni bir ejderha savaşçı bulması ve eğitmesi gerekiyordur",Animasyon, Aile, Bilim-Kurgu, Aksiyon
"Garfield'ın uzun süredir kayıp olan babası sokak kedisi Vic ile beklenmedik bir buluşma, Garfield ve sadık köpek arkadaşı Odie'yi kusursuz ve şımartılmış hayatlarından uzaklaştırır. Bu olağanüstü kesişme, ikiliyi Vic'in içinde bulunduğu komik ve yüksek riskli bir soygun planına sürükler. Garfield ve Odie, alıştıkları konfor bölgesinden çıkarak, Vic'in renkli ve tehlikeli dünyasına adım atmak zorunda kalır",Animasyon, Komedi, Aile,Aksiyon
"Birçok görevde ve imkansız şartlar altında, Dom Toretto ve ailesi yolundaki her düşmanı kurnazlıkla, cesaretle ve sürüş becerileriyle alt ettiler. Şimdiyse, geçmişin gölgelerinden çıkan kan intikamıyla güçlenmiş ve Dom'un sevdiği her şeyi ve herkesi sonsuza dek yok etmeye kararlı dehşet verici bir tehditle karşı karşıyalar - hayatlarının en ölümcül düşmanıyla",Aksiyon, Gerilim, Macera,
"Sezar'ın saltanatından yıllar sonra genç bir maymun, kendisine geçmişle ilgili öğretilen her şeyi sorgulamasına ve hem maymunlar hem de insanlar için geleceği tanımlayacak seçimler yapmasına yol açacak bir yolculuğa çıkar",Bilim-Kurgu, Macera, Aksiyon,
"Kaptan Amerika ve Iron Man'in arasında yaşanan olayların ardından bölünen kahramanlarımız, birbirlerinden uzaklara savrulurlar. Hepsi kendi yandaşlarıyla dünyayı korumaya çalışmaktadır. Ancak dünyanın kaderi bir kez daha tehlikeye girer. Sınırsız bir güç kaynağı olan sonsuzluk taşlarının peşine düşen Thanos, dünyanın gördüğü en büyük tehdittir. İnsanlığın kaderi bir kez daha, insanlık için savaşmaya ant içmiş kahramanlarımız elindedir. Hiçbir süper kahramanın tek başına yenemeyeceği büyüklükteki bu tehdit için ekipler birleşmeli ve tehdide tüm güçleriyle karşı koymalıdır",Macera, Aksiyon, Bilim-Kurgu,
"Avcı Kraven, Marvel'ın en ikonik kötü adamlarından birinin nasıl ve neden ortaya çıktığına dair farklı bir hikâye. Örümcek-Adam'la olan nam salmış kan davasından önce geçen filmin başrolünde Aaron Taylor-Johnson yer alıyor",Aksiyon, Macera, Gerilim,
